PLAYER_NAME,POSITION,TEAM,RATING,PTS,REB,AST,STL,BLK,SCR,AVG
Russell Westbrook,G,WAS,86,22.3,9.6,10.1,1.5,0.3,54.37,0.63
Bradley Beal,G,WAS,90,32.9,5.6,6.4,1.4,0.5,54.92,0.61
Donovan Mitchell,G,UTA,88,29.4,5.5,6.3,1.3,0.3,50.25,0.57
Julius Randle,C-F,NYK,87,22.6,11.0,5.7,0.8,0.3,47.65,0.55
Damian Lillard,G,POR,94,30.0,4.0,8.4,1.1,0.3,51.6,0.55
Rudy Gobert,C,UTA,88,16.8,14.8,1.8,0.7,2.9,48.06,0.55
Nikola Vucevic,C,ORL,87,23.1,11.1,3.6,1.0,0.7,46.92,0.54
Karl-Anthony Towns,C-F,MIN,89,23.3,9.9,4.0,0.9,1.5,48.38,0.54
Trae Young,G,ATL,87,24.4,4.5,8.9,0.9,0.3,46.75,0.54
Zion Williamson,F,NOP,89,25.5,6.9,3.5,0.8,0.6,43.23,0.49
Brandon Ingram,F,NOP,85,24.5,5.3,4.6,0.7,0.6,41.66,0.49
Devin Booker,G,PHX,88,25.2,3.9,5.0,0.8,0.3,40.68,0.46
Shai Gilgeous-Alexander,F-G,OKC,87,21.3,4.5,5.3,0.9,0.6,39.15,0.45
Chris Paul,G,PHX,88,16.1,4.8,8.4,1.3,0.3,39.26,0.45
Anthony Edwards,G,MIN,77,19.8,4.5,3.0,1.1,0.4,34.2,0.44
Ricky Rubio,G,MIN,75,11.1,3.7,8.2,1.6,0.1,32.94,0.44
Gordon Hayward,F,CHA,85,19.6,4.9,4.0,1.3,0.3,36.28,0.43
LaMelo Ball,G,CHA,85,15.3,5.6,5.8,1.6,0.3,36.42,0.43
Dennis Schroder,G,LAL,77,15.9,3.7,5.2,1.1,0.3,32.34,0.42
Montrezl Harrell,C-F,LAL,82,16.5,7.1,1.5,1.0,1.3,34.17,0.42
Kyle Kuzma,F,LAL,76,16.4,7.3,1.6,0.7,0.8,32.06,0.42
RJ Barrett,F-G,NYK,79,18.6,6.3,3.0,0.6,0.3,33.36,0.42
Jordan Clarkson,G,UTA,84,21.5,4.3,3.0,1.1,0.2,35.06,0.42
John Collins,C-F,ATL,84,17.5,8.6,1.4,0.4,1.1,34.42,0.41
Deandre Ayton,C,PHX,84,14.6,10.6,1.5,0.5,1.1,34.37,0.41
Lonzo Ball,G,NOP,80,14.2,4.3,5.7,1.1,0.5,32.71,0.41
Enes Kanter,C,POR,80,11.8,11.3,1.4,0.6,0.8,31.66,0.4
Joe Ingles,F-G,UTA,80,14.6,4.2,6.3,0.8,0.3,32.39,0.4
Bojan Bogdanovic,F,UTA,78,19.5,4.5,2.5,0.6,0.1,30.75,0.39
Terry Rozier,G,CHA,82,17.6,3.7,3.2,1.3,0.3,31.64,0.39
CJ McCollum,G,POR,88,19.8,3.4,3.9,1.0,0.3,33.63,0.38
Moses Brown,C,OKC,67,9.6,7.7,0.6,0.5,1.4,25.44,0.38
Al Horford,C-F,OKC,81,13.6,6.1,3.1,0.8,0.8,30.37,0.37
Robert Covington,F,POR,77,9.6,6.3,1.8,1.6,1.1,27.96,0.36
Alec Burks,G,NYK,77,14.1,5.3,2.5,0.8,0.3,27.51,0.36
Nerlens Noel,C-F,NYK,77,6.7,7.2,0.9,1.0,2.4,26.89,0.35
Rui Hachimura,F,WAS,77,13.2,6.0,2.0,0.9,0.1,26.4,0.34
Steven Adams,C,NOP,80,8.7,8.4,1.9,0.8,0.7,26.13,0.33
Josh Hart,G,NOP,77,10.4,7.2,2.0,0.8,0.3,25.34,0.33
Mikal Bridges,F,PHX,83,12.8,4.9,2.3,0.9,0.8,27.23,0.33
Danilo Gallinari,F,ATL,79,14.2,5.3,1.9,0.8,0.2,26.41,0.33
Kevin Huerter,F-G,ATL,76,11.3,3.9,3.3,1.2,0.3,25.43,0.33
Michael Carter-Williams,G,ORL,74,9.3,4.5,4.1,0.8,0.5,24.75,0.33
Carmelo Anthony,F,POR,79,14.2,3.6,1.7,1.0,0.7,26.17,0.33
Cody Zeller,C-F,CHA,79,8.9,6.7,2.0,0.8,0.6,24.14,0.31
Jae Crowder,F,PHX,77,10.7,5.3,2.1,0.8,0.3,23.51,0.31
Talen Horton-Tucker,G,LAL,75,9.3,3.4,2.8,1.1,0.9,23.58,0.31
Eric Bledsoe,G,NOP,78,11.7,3.4,3.8,0.7,0.3,24.48,0.31
Raul Neto,G,WAS,76,10.4,3.0,3.5,1.4,0.1,23.75,0.31
Naz Reid,C-F,MIN,78,10.9,4.3,1.3,0.6,1.1,23.11,0.3
Miles Bridges,F,CHA,75,9.7,5.2,1.8,0.7,0.6,22.54,0.3
Gary Trent Jr.,F-G,POR,78,14.7,2.1,1.5,0.8,0.2,22.47,0.29
Davis Bertans,F,WAS,77,13.1,3.7,1.4,0.7,0.3,22.64,0.29
Jaylen Nowell,G,MIN,74,11.8,2.9,1.8,0.8,0.4,21.58,0.29
Alex Len,C,WAS,75,8.3,4.9,1.4,0.3,1.3,21.08,0.28
Deni Avdija,F,WAS,74,7.8,5.8,1.8,0.8,0.3,20.76,0.28
Derrick Favors,C-F,UTA,80,7.9,6.7,1.1,0.6,1.1,22.69,0.28
Dario Saric,C-F,PHX,79,11.4,4.8,1.5,0.8,0.2,22.41,0.28
Bogdan Bogdanovic,G,ATL,76,10.4,3.6,2.5,0.6,0.2,20.87,0.27
Aleksej Pokusevski,C,OKC,71,5.6,5.3,1.7,0.6,1.0,19.31,0.27
Kentavious Caldwell-Pope,G,LAL,75,10.1,2.5,1.5,1.0,0.3,19.25,0.26
Reggie Bullock,F-G,NYK,73,9.9,3.8,1.6,0.6,0.2,19.26,0.26
Jarred Vanderbilt,F,MIN,76,6.2,5.5,1.4,1.1,0.6,20.0,0.26
Malik Monk,G,CHA,79,11.7,2.6,1.7,0.5,0.2,19.47,0.25
Isaiah Roby,F,OKC,76,7.6,4.3,1.5,0.8,0.5,18.91,0.25
Jaxson Hayes,C-F,NOP,76,7.5,5.5,0.7,0.4,0.9,19.05,0.25
Cameron Payne,G,PHX,77,7.7,2.3,3.7,0.8,0.3,19.31,0.25
Robin Lopez,C,WAS,76,8.6,4.3,1.1,0.3,0.7,18.41,0.24
Dwayne Bacon,F-G,ORL,71,9.8,2.8,1.1,0.6,0.2,17.21,0.24
Nathan Knight,C-F,ATL,70,7.6,4.0,0.6,0.3,0.9,16.9,0.24
Jaden McDaniels,F,MIN,72,6.6,3.7,1.1,0.5,1.1,17.49,0.24
Taj Gibson,F,NYK,75,5.5,5.5,0.8,0.7,0.7,17.5,0.23
Derrick Jones Jr.,F-G,POR,76,7.1,3.6,0.8,0.7,0.8,17.12,0.23
Garrison Mathews,G,WAS,75,8.8,2.4,0.8,0.8,0.2,15.88,0.21
Jake Layman,F,MIN,74,7.4,2.0,1.0,0.9,0.6,15.8,0.21
Chuma Okeke,F,ORL,72,4.5,3.3,1.9,0.8,0.3,14.61,0.2
Kenrich Williams,F-G,OKC,76,5.4,3.5,1.5,0.7,0.3,14.85,0.2
Nickeil Alexander-Walker,G,NOP,76,7.0,2.2,1.8,0.7,0.2,15.04,0.2
Kira Lewis Jr.,G,NOP,72,6.4,1.4,2.3,0.8,0.2,14.53,0.2
Ty Jerome,F-G,OKC,74,6.7,2.1,2.1,0.6,0.1,14.47,0.2
Georges Niang,F,UTA,73,6.8,2.5,1.0,0.6,0.1,13.4,0.18
