team_id,full_name,abbreviation,espn_abv
1610612737,Atlanta Hawks,ATL,ATL
1610612751,Brooklyn Nets,BKN,BKN
1610612738,Boston Celtics,BOS,BOS
1610612766,Charlotte Hornets,CHA,CHA
1610612741,Chicago Bulls,CHI,CHI
1610612739,Cleveland Cavaliers,CLE,CLE
1610612742,Dallas Mavericks,DAL,DAL
1610612743,Denver Nuggets,DEN,DEN
1610612765,Detroit Pistons,DET,DET
1610612744,Golden State Warriors,GSW,GS
1610612745,Houston Rockets,HOU,HOU
1610612754,Indiana Pacers,IND,IND
1610612746,Los Angeles Clippers,LAC,LAC
1610612747,Los Angeles Lakers,LAL,LAL
1610612763,Memphis Grizzlies,MEM,MEM
1610612748,Miami Heat,MIA,MIA
1610612749,Milwaukee Bucks,MIL,MIL
1610612750,Minnesota Timberwolves,MIN,MIN
1610612740,New Orleans Pelicans,NOP,NO
1610612752,New York Knicks,NYK,NY
1610612760,Oklahoma City Thunder,OKC,OKC
1610612753,Orlando Magic,ORL,ORL
1610612755,Philadelphia 76ers,PHI,PHI
1610612756,Phoenix Suns,PHX,PHX
1610612757,Portland Trail Blazers,POR,POR
1610612758,Sacramento Kings,SAC,SA
1610612759,San Antonio Spurs,SAS,SAC
1610612761,Toronto Raptors,TOR,TOR
1610612762,Utah Jazz,UTA,UTAH
1610612764,Washington Wizards,WAS,WSH
